Make,Type,DiaInMm,LengthInMm,PartNo
SOLID,GROUND,7,200,SGR07200
SOLID,GROUND,7,210,SGR07210
SOLID,GROUND,7,220,SGR07220
SOLID,GROUND,7,230,SGR07230
SOLID,GROUND,7,240,SGR07240
SOLID,GROUND,7,250,SGR07250
SOLID,GROUND,7,330,SGR07330
SOLID,GROUND,8,50,SGR08050
SOLID,GROUND,8,60,SGR08060
SOLID,GROUND,8,70,SGR08070
SOLID,GROUND,8,80,SGR08080
SOLID,GROUND,8,90,SGR08090
SOLID,GROUND,8,100,SGR08100
SOLID,GROUND,8,110,SGR08110
SOLID,GROUND,8,120,SGR08120
SOLID,GROUND,8,130,SGR08130
SOLID,GROUND,8,140,SGR08140
SOLID,GROUND,8,150,SGR08150
SOLID,GROUND,8,160,SGR08160
SOLID,GROUND,8,170,SGR08170
SOLID,GROUND,8,180,SGR08180
SOLID,GROUND,8,190,SGR08190
SOLID,GROUND,8,200,SGR08200
SOLID,GROUND,8,210,SGR08210
SOLID,GROUND,8,220,SGR08220
SOLID,GROUND,8,230,SGR08230
SOLID,GROUND,8,240,SGR08240
SOLID,GROUND,8,250,SGR08250
SOLID,GROUND,8,330,SGR08330
SOLID,GROUND,9,50,SGR09050
SOLID,GROUND,9,60,SGR09060
SOLID,GROUND,9,70,SGR09070
SOLID,GROUND,9,80,SGR09080
SOLID,GROUND,9,90,SGR09090
SOLID,GROUND,9,100,SGR09100
SOLID,GROUND,9,110,SGR09110
SOLID,GROUND,9,120,SGR09120
SOLID,GROUND,9,130,SGR09130
SOLID,GROUND,9,140,SGR09140
SOLID,GROUND,9,150,SGR09150
SOLID,GROUND,9,160,SGR09160
SOLID,GROUND,9,170,SGR09170
SOLID,GROUND,9,180,SGR09180
SOLID,GROUND,9,190,SGR09190
SOLID,GROUND,9,200,SGR09200
SOLID,GROUND,9,210,SGR09210
SOLID,GROUND,9,220,SGR09220
SOLID,GROUND,9,230,SGR09230
SOLID,GROUND,9,240,SGR09240
SOLID,GROUND,9,250,SGR09250
SOLID,GROUND,9,330,SGR09330
SOLID,GROUND,10,50,SGR10050
SOLID,GROUND,10,60,SGR10060
SOLID,GROUND,10,70,SGR10070
SOLID,GROUND,10,80,SGR10080
SOLID,GROUND,10,90,SGR10090
SOLID,GROUND,10,100,SGR10100
SOLID,GROUND,10,110,SGR10110
SOLID,GROUND,10,120,SGR10120
SOLID,GROUND,10,130,SGR10130
SOLID,GROUND,10,140,SGR10140
SOLID,GROUND,10,150,SGR10150
SOLID,GROUND,10,160,SGR10160
SOLID,GROUND,10,170,SGR10170
SOLID,GROUND,10,180,SGR10180
SOLID,GROUND,10,190,SGR10190
SOLID,GROUND,10,200,SGR10200
SOLID,GROUND,10,210,SGR10210
SOLID,GROUND,10,220,SGR10220
SOLID,GROUND,10,230,SGR10230
SOLID,GROUND,10,240,SGR10240
SOLID,GROUND,10,250,SGR10250
SOLID,GROUND,10,330,SGR10330

1 SINGLE HOLE,NA,6,50,1HP06050
1 SINGLE HOLE,NA,6,60,1HP06060
1 SINGLE HOLE,NA,6,70,1HP06070
1 SINGLE HOLE,NA,6,80,1HP06080
1 SINGLE HOLE,NA,6,90,1HP06090
1 SINGLE HOLE,NA,6,100,1HP06100
1 SINGLE HOLE,NA,6,110,1HP06110
1 SINGLE HOLE,NA,6,120,1HP06120
1 SINGLE HOLE,NA,6,130,1HP06130
1 SINGLE HOLE,NA,6,140,1HP06140
1 SINGLE HOLE,NA,6,150,1HP06150
1 SINGLE HOLE,NA,6,160,1HP06160
1 SINGLE HOLE,NA,6,170,1HP06170
1 SINGLE HOLE,NA,6,180,1HP06180
1 SINGLE HOLE,NA,6,190,1HP06190
1 SINGLE HOLE,NA,6,200,1HP06200
1 SINGLE HOLE,NA,6,210,1HP06210
1 SINGLE HOLE,NA,6,220,1HP06220
1 SINGLE HOLE,NA,6,230,1HP06230
1 SINGLE HOLE,NA,6,240,1HP06240
1 SINGLE HOLE,NA,6,250,1HP06250
1 SINGLE HOLE,NA,6,330,1HP06330
1 SINGLE HOLE,NA,7,50,1HP07050
1 SINGLE HOLE,NA,7,60,1HP07060
1 SINGLE HOLE,NA,7,70,1HP07070
1 SINGLE HOLE,NA,7,80,1HP07080
1 SINGLE HOLE,NA,7,90,1HP07090
1 SINGLE HOLE,NA,7,100,1HP07100
1 SINGLE HOLE,NA,7,110,1HP07110
1 SINGLE HOLE,NA,7,120,1HP07120
1 SINGLE HOLE,NA,7,130,1HP07130
1 SINGLE HOLE,NA,7,140,1HP07140
1 SINGLE HOLE,NA,7,150,1HP07150
1 SINGLE HOLE,NA,7,160,1HP07160
1 SINGLE HOLE,NA,7,170,1HP07170
1 SINGLE HOLE,NA,7,180,1HP07180
1 SINGLE HOLE,NA,7,190,1HP07190
1 SINGLE HOLE,NA,7,200,1HP07200
1 SINGLE HOLE,NA,7,210,1HP07210
1 SINGLE HOLE,NA,7,220,1HP07220
1 SINGLE HOLE,NA,7,230,1HP07230
1 SINGLE HOLE,NA,7,240,1HP07240
1 SINGLE HOLE,NA,7,250,1HP07250
